"","response.header.resultCode","response.header.resultMsg","response.body.items.item.dateKind","response.body.items.item.dateName","response.body.items.item.isHoliday","response.body.items.item.locdate","response.body.items.item.seq","response.body.numOfRows","response.body.pageNo","response.body.totalCount"
"62","00","NORMAL SERVICE.","01","현충일","Y",20180606,1,10,1,2
"63","00","NORMAL SERVICE.","01","전국동시지방선거","Y",20180613,1,10,1,2
"64","00","NORMAL SERVICE.","01","광복절","Y",20180815,1,10,1,1
"65","00","NORMAL SERVICE.","01","추석","Y",20180923,1,10,1,4
"66","00","NORMAL SERVICE.","01","추석","Y",20180924,1,10,1,4
"67","00","NORMAL SERVICE.","01","추석","Y",20180925,1,10,1,4
"68","00","NORMAL SERVICE.","01","대체휴무일","Y",20180926,1,10,1,4
"69","00","NORMAL SERVICE.","01","개천절","Y",20181003,1,10,1,2
"70","00","NORMAL SERVICE.","01","한글날","Y",20181009,1,10,1,2
"71","00","NORMAL SERVICE.","01","기독탄신일","Y",20181225,1,10,1,1
"72","00","NORMAL SERVICE.","01","1월1일","Y",20190101,1,10,1,1
"73","00","NORMAL SERVICE.","01","설날","Y",20190204,1,10,1,3
"74","00","NORMAL SERVICE.","01","설날","Y",20190205,1,10,1,3
"75","00","NORMAL SERVICE.","01","설날","Y",20190206,1,10,1,3
"76","00","NORMAL SERVICE.","01","삼일절","Y",20190301,1,10,1,1
"77","00","NORMAL SERVICE.","01","어린이날","Y",20190505,1,10,1,3
"78","00","NORMAL SERVICE.","01","대체공휴일","Y",20190506,1,10,1,3
"79","00","NORMAL SERVICE.","01","부처님오신날","Y",20190512,1,10,1,3
"80","00","NORMAL SERVICE.","01","현충일","Y",20190606,1,10,1,1
"81","00","NORMAL SERVICE.","01","광복절","Y",20190815,1,10,1,1
"82","00","NORMAL SERVICE.","01","추석","Y",20190912,1,10,1,3
"83","00","NORMAL SERVICE.","01","추석","Y",20190913,1,10,1,3
"84","00","NORMAL SERVICE.","01","추석","Y",20190914,1,10,1,3
"85","00","NORMAL SERVICE.","01","개천절","Y",20191003,1,10,1,2
"86","00","NORMAL SERVICE.","01","한글날","Y",20191009,1,10,1,2
"87","00","NORMAL SERVICE.","01","기독탄신일","Y",20191225,1,10,1,1
"88","00","NORMAL SERVICE.","01","1월1일","Y",20200101,1,10,1,5
"89","00","NORMAL SERVICE.","01","설날","Y",20200124,1,10,1,5
"90","00","NORMAL SERVICE.","01","설날","Y",20200125,1,10,1,5
"91","00","NORMAL SERVICE.","01","설날","Y",20200126,1,10,1,5
"92","00","NORMAL SERVICE.","01","대체공휴일","Y",20200127,1,10,1,5
"93","00","NORMAL SERVICE.","01","삼일절","Y",20200301,1,10,1,1
"94","00","NORMAL SERVICE.","01","제21대 국회의원선거","Y",20200415,1,10,1,2
"95","00","NORMAL SERVICE.","01","부처님오신날","Y",20200430,1,10,1,2
"96","00","NORMAL SERVICE.","01","어린이날","Y",20200505,1,10,1,1
"97","00","NORMAL SERVICE.","01","현충일","Y",20200606,1,10,1,1
"98","00","NORMAL SERVICE.","01","광복절","Y",20200815,1,10,1,2
"99","00","NORMAL SERVICE.","01","임시공휴일","Y",20200817,1,10,1,2
"100","00","NORMAL SERVICE.","01","추석","Y",20200930,1,10,1,1
"101","00","NORMAL SERVICE.","01","추석","Y",20201001,1,10,1,4
"102","00","NORMAL SERVICE.","01","추석","Y",20201002,1,10,1,4
"103","00","NORMAL SERVICE.","01","개천절","Y",20201003,1,10,1,4
"104","00","NORMAL SERVICE.","01","한글날","Y",20201009,1,10,1,4
"105","00","NORMAL SERVICE.","01","기독탄신일","Y",20201225,1,10,1,1
"106","00","NORMAL SERVICE.","01","1월1일","Y",20210101,1,10,1,1
"107","00","NORMAL SERVICE.","01","설날","Y",20210211,1,10,1,3
"108","00","NORMAL SERVICE.","01","설날","Y",20210212,1,10,1,3
"109","00","NORMAL SERVICE.","01","설날","Y",20210213,1,10,1,3
"110","00","NORMAL SERVICE.","01","삼일절","Y",20210301,1,10,1,1
"111","00","NORMAL SERVICE.","01","어린이날","Y",20210505,1,10,1,2
"112","00","NORMAL SERVICE.","01","부처님오신날","Y",20210519,1,10,1,2
"113","00","NORMAL SERVICE.","01","현충일","Y",20210606,1,10,1,1
"114","00","NORMAL SERVICE.","01","광복절","Y",20210815,1,10,1,2
"115","00","NORMAL SERVICE.","01","대체공휴일","Y",20210816,1,10,1,2
"116","00","NORMAL SERVICE.","01","추석","Y",20210920,1,10,1,3
"117","00","NORMAL SERVICE.","01","추석","Y",20210921,1,10,1,3
"118","00","NORMAL SERVICE.","01","추석","Y",20210922,1,10,1,3
"119","00","NORMAL SERVICE.","01","개천절","Y",20211003,1,10,1,4
"120","00","NORMAL SERVICE.","01","대체공휴일","Y",20211004,1,10,1,4
"121","00","NORMAL SERVICE.","01","한글날","Y",20211009,1,10,1,4
"122","00","NORMAL SERVICE.","01","대체공휴일","Y",20211011,1,10,1,4
"123","00","NORMAL SERVICE.","01","기독탄신일","Y",20211225,1,10,1,1
"124","00","NORMAL SERVICE.","01","1월1일","Y",20220101,1,10,1,2
"125","00","NORMAL SERVICE.","01","설날","Y",20220131,1,10,1,2
"126","00","NORMAL SERVICE.","01","설날","Y",20220201,1,10,1,2
"127","00","NORMAL SERVICE.","01","설날","Y",20220202,1,10,1,2
"128","00","NORMAL SERVICE.","01","삼일절","Y",20220301,1,10,1,2
"129","00","NORMAL SERVICE.","01","대통령선거일","Y",20220309,1,10,1,2
"130","00","NORMAL SERVICE.","01","어린이날","Y",20220505,1,10,1,2
"131","00","NORMAL SERVICE.","01","부처님오신날","Y",20220508,1,10,1,2
"132","00","NORMAL SERVICE.","01","전국동시지방선거","Y",20220601,1,10,1,2
"133","00","NORMAL SERVICE.","01","현충일","Y",20220606,1,10,1,2
"134","00","NORMAL SERVICE.","01","광복절","Y",20220815,1,10,1,1
"135","00","NORMAL SERVICE.","01","추석","Y",20220909,1,10,1,4
"136","00","NORMAL SERVICE.","01","추석","Y",20220910,1,10,1,4
"137","00","NORMAL SERVICE.","01","추석","Y",20220911,1,10,1,4
"138","00","NORMAL SERVICE.","01","대체공휴일","Y",20220912,1,10,1,4
"139","00","NORMAL SERVICE.","01","개천절","Y",20221003,1,10,1,3
"140","00","NORMAL SERVICE.","01","한글날","Y",20221009,1,10,1,3
"141","00","NORMAL SERVICE.","01","대체공휴일","Y",20221010,3,10,1,3
"142","00","NORMAL SERVICE.","01","기독탄신일","Y",20221225,1,10,1,1
"143","00","NORMAL SERVICE.","01","1월1일","Y",20230101,1,10,1,5
"144","00","NORMAL SERVICE.","01","설날","Y",20230121,1,10,1,5
"145","00","NORMAL SERVICE.","01","설날","Y",20230122,1,10,1,5
"146","00","NORMAL SERVICE.","01","설날","Y",20230123,1,10,1,5
"147","00","NORMAL SERVICE.","01","대체공휴일","Y",20230124,1,10,1,5
"148","00","NORMAL SERVICE.","01","삼일절","Y",20230301,1,10,1,1
"149","00","NORMAL SERVICE.","01","어린이날","Y",20230505,1,10,1,3
"150","00","NORMAL SERVICE.","01","부처님오신날","Y",20230527,1,10,1,3
"151","00","NORMAL SERVICE.","01","대체공휴일","Y",20230529,1,10,1,3
"152","00","NORMAL SERVICE.","01","현충일","Y",20230606,1,10,1,1
"153","00","NORMAL SERVICE.","01","광복절","Y",20230815,1,10,1,1
"154","00","NORMAL SERVICE.","01","추석","Y",20230928,1,10,1,3
"155","00","NORMAL SERVICE.","01","추석","Y",20230929,1,10,1,3
"156","00","NORMAL SERVICE.","01","추석","Y",20230930,1,10,1,3
"157","00","NORMAL SERVICE.","01","임시공휴일","Y",20231002,2,10,1,3
"158","00","NORMAL SERVICE.","01","개천절","Y",20231003,1,10,1,3
"159","00","NORMAL SERVICE.","01","한글날","Y",20231009,1,10,1,3
"160","00","NORMAL SERVICE.","01","기독탄신일","Y",20231225,1,10,1,1
"161","00","NORMAL SERVICE.","01","1월1일","Y",20240101,1,10,1,1
"162","00","NORMAL SERVICE.","01","설날","Y",20240209,1,10,1,4
"163","00","NORMAL SERVICE.","01","설날","Y",20240210,1,10,1,4
"164","00","NORMAL SERVICE.","01","설날","Y",20240211,1,10,1,4
"165","00","NORMAL SERVICE.","01","대체공휴일(설날)","Y",20240212,1,10,1,4
"166","00","NORMAL SERVICE.","01","삼일절","Y",20240301,1,10,1,1
"167","00","NORMAL SERVICE.","01","국회의원선거","Y",20240410,1,10,1,1
"168","00","NORMAL SERVICE.","01","어린이날","Y",20240505,1,10,1,3
"169","00","NORMAL SERVICE.","01","대체공휴일(어린이날)","Y",20240506,1,10,1,3
"170","00","NORMAL SERVICE.","01","부처님오신날","Y",20240515,1,10,1,3
"171","00","NORMAL SERVICE.","01","현충일","Y",20240606,1,10,1,1
"172","00","NORMAL SERVICE.","01","광복절","Y",20240815,1,10,1,1
"173","00","NORMAL SERVICE.","01","추석","Y",20240916,1,10,1,3
"174","00","NORMAL SERVICE.","01","추석","Y",20240917,1,10,1,3
"175","00","NORMAL SERVICE.","01","추석","Y",20240918,1,10,1,3
"176","00","NORMAL SERVICE.","01","임시공휴일","Y",20241001,2,10,1,3
"177","00","NORMAL SERVICE.","01","개천절","Y",20241003,1,10,1,3
"178","00","NORMAL SERVICE.","01","한글날","Y",20241009,1,10,1,3
"179","00","NORMAL SERVICE.","01","기독탄신일","Y",20241225,1,10,1,1
